"plateid1","min","max","difference"
819,310274.23043632647,310274.23043632647,0
820,4122224.394303575,4122224.394303575,0
821,410945.6338461185,410945.6338461185,0
822,164507.88847775507,164507.88847775507,0
824,1108600.034021092,1108600.034021092,0
825,347677.2910181991,347677.2910181991,0
826,546086.0809819828,546086.0809819828,0
840,87430.92350811228,87430.92350811228,0
846,553622.864245283,553622.864245283,0
847,542832.4070897617,542832.4070897617,0
848,770082.1970238884,770082.1970238884,0
870,619984.9011549468,619984.9011549468,0
871,165650.80707976897,165650.80707976897,0
873,1611148.149347136,1611148.149347136,0
875,466902.9407404692,466902.9407404692,0
876,1069964.69138621,1069964.69138621,0
877,369792.4453086029,369792.4453086029,0
902,16200807.967767445,16200807.967767445,0
904,1801717.9506672467,1801717.9506672467,0
905,569556.0457298311,569556.0457298311,0
909,3108861.0460065925,3108861.0460065925,0
910,296530.58099792793,296530.58099792793,0
912,329941.13668592926,329941.13668592926,0
913,523754.9522471737,523754.9522471737,0
930,171181.89944107548,171181.89944107548,0
931,414175.7405376942,414175.7405376942,0
932,200662.50121725464,200662.50121725464,0
940,150274.27887633714,150274.27887633714,0
944,156742.93683027104,156742.93683027104,0
896,26900.42826866797,26902.277145439577,1.8488767716080474
550,24735.151850707305,24737.533010834904,2.381160127599287
350,28895.715263444,28900.745335071657,5.03007162765789
897,85083.94721270801,85091.2242969275,7.277084219487733
311,513.3662453855591,523.3573237615051,9.991078375946017
328,8734.07259086029,8757.86306020044,23.790469340148775
322,20035.130434233062,20083.953479021027,48.823044787965046
230,186637.13641063514,186694.23951914118,57.10310850603855
895,862985.923273615,863047.7849932463,61.86171963135712
816,46260.822192228086,46398.73811083984,137.91591861175402
907,113690.96537422552,113877.33552833747,186.3701541119517
908,139997.7905783709,140210.44628564527,212.65570727435988
812,55751.35805442523,55967.71506971106,216.35701528583013
324,112036.55199435461,112313.23167099988,276.6796766452753
326,116934.03648310715,117222.78822310455,288.7517399974022
659,569179.1924830452,569486.9044064026,307.71192335744854
121,171625.72158154528,171934.65907693483,308.9374953895458
606,226863.08976961128,227191.15701035457,328.0672407432867
327,194901.77979391153,195359.5618235268,457.7820296152786
330,122207.09575460965,122757.66925714188,550.5735025322356
515,231220.82226214302,231813.6704956614,592.8482335183944
409,141385.6316206319,142023.89716902492,638.2655483930139
332,246905.7637329201,247561.8309894485,656.0672565283894
513,342014.1103922039,342713.0089798311,698.89858762722
319,118029.14275197693,118796.69606086417,767.5533088872326
407,152530.22825630262,153310.02765305297,779.7993967503426
114,168462.68260252464,169279.89869333708,817.2160908124351
805,318543.0338619373,319387.3028307363,844.2689687990351
624,667833.9595435312,668827.6452105456,993.685667014448
130,157040.00225082165,158103.7209811682,1063.7187303465616
511,496104.8378127373,497226.05639302626,1121.218580288929
403,428884.0765669043,430059.5393754815,1175.4628085771692
609,375861.4892363951,377046.1831983668,1184.6939619716723
502,100507.99366320948,101763.41637595287,1255.4227127433987
508,141398.82848307176,142671.08073978015,1272.2522567083943
135,554071.6737959925,555352.1976284053,1280.5238324127859
614,316885.4944286249,318179.65774899785,1294.1633203729289
807,214943.17209816712,216318.3393219739,1375.167223806784
308,560005.1418426497,561496.6150562048,1491.4732135551749
510,150160.2137211273,151693.80030275203,1533.5865816247242
126,260630.30786686926,262188.7531533981,1558.4452865288476
303,180884.83753707842,182599.5314516892,1714.6939146107761
309,155236.125832003,157039.34486411765,1803.2190321146627
602,457990.95152496814,459974.26190932497,1983.3103843568242
610,621845.1369737774,623852.0100036114,2006.8730298340088
107,412844.24568011233,415441.3955087462,2597.1498286338756
512,525675.5048201245,528301.5101630745,2626.0053429499967
132,367693.82442558807,370502.3291449265,2808.504719338438
507,387543.4886653672,390506.08717923914,2962.598513871955
134,535310.3633229091,538283.7675478829,2973.404224973754
313,325863.97420497914,328871.2877431317,3007.31353815255
129,380734.95458259206,383771.4083738154,3036.45379122335
131,418016.9243734655,421166.6835042975,3149.7591308320407
621,754138.4886266425,757508.0417393979,3369.553112755413
811,41345.93673697113,44730.25706062531,3384.320323654174
506,284271.7783540811,287791.141206254,3519.362852172926
290,383414.66140453774,387107.7878711274,3693.126466589689
504,417632.5124467081,421621.11415815674,3988.6017114486312
133,579329.819060326,583413.315761862,4083.4967015360016
806,518517.42033487925,522682.49027571874,4165.069940839487
813,565748.7157260468,570081.2048830539,4332.489157007076
612,763225.3319623166,768336.5087068528,5111.176744536147
620,1702136.9988873864,1707488.8240450877,5351.825157701271
127,582535.4804491767,587891.2299233524,5355.749474175624
804,2214324.071735918,2219706.426358906,5382.35462298803
814,747753.674064786,753561.9716874404,5808.297622654354
613,717242.2608843674,723178.864210224,5936.603325856617
505,719709.3008382828,725808.4416548932,6099.140816610423
514,1412249.5393958285,1418562.1160171642,6312.576621335698
205,494293.7127302679,500900.8960515625,6607.183321294608
707,514669.8611969082,521353.2896834463,6683.428486538061
125,579589.4865562739,586399.3099164286,6809.8233601547545
619,933446.844584989,940783.0423659015,7336.197780912509
601,858338.1288487769,865778.2115136692,7440.08266489231
108,603139.6685872826,610933.6830312886,7794.014444005908
124,755859.1425466945,764206.4615031375,8347.318956442992
203,662744.784728967,671257.4415367187,8512.656807751744
615,1355925.846794201,1365520.5864528734,9594.739658672363
307,878931.6387615021,888876.3583872513,9944.71962574916
712,879788.5866953724,889797.0300599575,10008.443364585168
117,816741.6940676186,828208.3384746562,11466.644407037646
325,46864.198833049864,58653.8620379726,11789.663204922734
109,964485.9308969359,977100.4004228257,12614.469525889843
315,982609.2156954291,995578.57822325,12969.362527820864
682,48757.807669776426,62699.72591211197,13941.918242335545
716,1629606.0880786371,1646276.8591234754,16670.771044838242
128,272100.1087072422,289401.78507900937,17301.676371767186
611,3441451.0987022487,3458869.454549491,17418.35584724229
405,1476446.6920739263,1495515.696059125,19069.00398519868
320,18237.162028217193,37605.69049311627,19368.52846489908
616,1671161.74592994,1690585.3106452997,19423.564715359826
803,1249694.6033748984,1269354.1126413622,19659.509266463807
604,2468666.3836878114,2488511.3961699586,19845.012482147198
202,2253356.2452269485,2276559.590209344,23203.344982395414
628,2789255.2986920653,2814925.6044296524,25670.305737587158
206,227699.77387958352,253410.48700067,25710.713121086475
252,132547.86106336734,161087.7525356122,28539.891472244868
331,28698.499061092458,59050.84166135467,30352.342600262215
406,1359934.94953693,1390792.2580300518,30857.30849312176
402,3413663.535249097,3445952.291070998,32288.755821901374
106,1084268.323564929,1120790.1706994267,36521.847134497715
310,869637.0222576805,907068.4763135373,37431.4540558568
237,21310.574619189643,70188.11728482266,48877.54266563301
222,33760.21695931693,87592.31143882181,53832.09447950488
104,1119459.0773053223,1192409.6150051455,72950.53769982327
103,1517604.8023603337,1603489.6863480937,85884.88398775994
318,26483.650801176078,113453.4515486037,86969.80074742762
800,549832.0736403932,640716.4001106223,90884.32647022908
305,1037270.3911266724,1134338.2185698631,97067.82744319073
291,3685385.4613849632,3805714.0276933555,120328.56630839221
317,86895.84111921032,220858.95473136046,133963.11361215013
204,581408.4388209584,732188.9740307218,150780.53520976345
105,389219.69397660525,545312.1550013148,156092.46102470957
401,11059223.840911772,11215914.703691406,156690.86277963407
833,1349538.0973021293,1595107.1848805777,245569.08757844847
888,399393.9502698439,645901.8779969423,246507.92772709834
834,496792.1059207067,760273.7237921744,263481.61787146766
239,11225.797086826416,278615.9232548384,267390.126168012
306,62976.757900839024,343263.3972050142,280286.63930417516
416,81760.65345877621,365901.37721764966,284140.7237588734
123,58499.42340887729,492735.8614891636,434236.4380802863
872,49084.118458365825,512381.10490788554,463296.9864495197
992,175817.60378214542,740143.5010423288,564325.8972601834
503,4358907.544868963,5178818.679489979,819911.1346210157
985,317515.3358164296,1192077.3099971053,874561.9741806757
